Species,Chemical Name,Meas Freq-GHz,Freq-GHz,Resolved QNs,CDMS/JPL Intensity,E_U (K),Frequency,Deviation,Weighting
C4Hv=0,"1,3-Butadiynyl radical",,9.5479623,"N=1-0,J=1/2-1/2,F=1-0",-7.3842,0.4588,9547.9623,0.0005629960578517057,1.0
C4Hv=0,"1,3-Butadiynyl radical",9.54796,,"N=1-0,J=1/2-1/2,F=1-0",-7.4138,0.45895,9547.96,0.001737003942253068,0.30276421991338087
