Species,Chemical Name,Meas Freq-GHz,Freq-GHz,Resolved QNs,CDMS/JPL Intensity,E_U (K),Frequency,Deviation,Weighting
C313CCH,"2,4-Pentadiynylidyne",,7.0979243,"J=3/2-1/2,p=1--1,F1=2-1,F2=2-2",-7.1468,0.3418,7097.9243,0.031256000000212225,1.0
C13CC3H,"2,4-Pentadiynylidyne",,7.0979807,"J=3/2-1/2,p=1--1,F1=1-1,F2=2-2",-7.5024,0.34195,7097.9807,0.025144000000182132,0.5481495099815018
