Species,Chemical Name,Meas Freq-GHz,Freq-GHz,Resolved QNs,CDMS/JPL Intensity,E_U (K),Frequency,Deviation,Weighting
C4Hv=0,"1,3-Butadiynyl radical",9.55172,,"N=1-0,J=1/2-1/2,F=0-1",-7.5356,0.45841,9551.72,0.013333000000784523,1.0
C4Hv=0,"1,3-Butadiynyl radical",,9.5517187,"N=1-0,J=1/2-1/2,F=0-1",-7.5059,0.45826,9551.7187,0.01463300000068557,0.9756510280800937
