Species,Chemical Name,Meas Freq-GHz,Freq-GHz,Resolved QNs,CDMS/JPL Intensity,E_U (K),Frequency,Deviation,Weighting
l-C5H,"2,4-Pentadiynylidyne",16.71151,,"J=7/2-5/2,&Omega;=1/2,F=5/2+-3/2-",-5.1952,1.71911,16711.510000000002,0.04555599999730475,1.0
l-C5H,"2,4-Pentadiynylidyne",,16.7116058,"J=7/2-5/2,&Omega;=1/2,F=3-2,l=f",-5.1856,1.71924,16711.6058,0.050244000001839595,0.9269608182069982
