Species,Chemical Name,Meas Freq-GHz,Freq-GHz,Resolved QNs,CDMS/JPL Intensity,E_U (K),Frequency,Deviation,Weighting
C4Hv=0,"1,3-Butadiynyl radical",,9.4976172,"N=1-0,J=3/2-1/2,F=2-1",-6.812,0.45567,9497.6172,0.029986915176777984,1.0
C4Hv=0,"1,3-Butadiynyl radical",9.497615,,"N=1-0,J=3/2-1/2,F=2-1",-6.8417,0.45581,9497.615,0.03218691517758998,0.8700664764511794
